Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,Recency,Frequency,Monetary,Cluster
15.0,29.0,4,2,3,2,2,0,7.0,143.32,0,7.0,15.0,143.32,1
7.0,25.0,4,3,1,1,2,0,7.0,129.29,0,7.0,7.0,129.29,1
27.0,13.0,3,2,1,1,5,0,7.0,168.54,0,7.0,27.0,168.54,0
20.0,25.0,4,0,3,0,7,0,3.0,230.27,0,3.0,20.0,230.27,0
30.0,15.0,4,5,4,2,8,0,8.0,322.17,0,8.0,30.0,322.17,3
7.0,16.0,4,4,2,0,2,0,11.0,152.81,0,11.0,7.0,152.81,1
1.0,15.0,6,4,5,0,3,0,2.0,149.51,0,2.0,1.0,149.51,2
1.0,11.0,4,4,5,2,3,0,1.0,154.73,1,1.0,1.0,154.73,2
11.0,12.0,4,4,3,1,2,0,4.0,137.02,0,4.0,11.0,137.02,2
17.0,7.0,3,2,1,1,5,1,2.0,157.43,0,2.0,17.0,157.43,0
6.0,26.0,6,0,3,1,5,0,3.0,221.1,0,3.0,6.0,221.1,2
16.0,20.0,2,2,5,1,7,0,1.0,180.38,0,1.0,16.0,180.38,0
1.0,7.0,4,4,3,0,5,0,3.0,154.09,1,3.0,1.0,154.09,2
1.0,7.0,5,0,3,0,7,0,3.0,231.09,1,3.0,1.0,231.09,2
6.0,14.0,3,2,5,1,3,0,2.0,163.92,0,2.0,6.0,163.92,2
10.0,8.0,4,2,3,2,8,0,1.0,193.15,0,1.0,10.0,193.15,2
9.0,21.0,5,3,1,1,1,1,3.0,121.68,0,3.0,9.0,121.68,2
8.0,22.0,4,0,2,0,3,0,6.0,204.78,1,6.0,8.0,204.78,1
19.0,27.0,4,1,1,1,2,1,11.0,259.96,0,11.0,19.0,259.96,3
0.0,18.0,1,3,4,2,2,0,0.0,127.16,1,0.0,0.0,127.16,2
1.0,33.0,5,2,5,2,7,0,2.0,191.96,1,2.0,1.0,191.96,2
3.0,22.0,3,2,3,1,9,0,2.0,153.01,0,2.0,3.0,153.01,2
30.0,9.0,1,3,5,1,5,1,0.0,126.7,0,0.0,30.0,126.7,0
5.0,14.0,3,0,1,2,2,0,7.0,189.98,0,7.0,5.0,189.98,1
9.0,12.0,4,0,4,2,2,0,14.0,205.95,0,14.0,9.0,205.95,1
18.0,26.0,3,2,3,2,9,0,1.0,148.5,0,1.0,18.0,148.5,0
16.0,17.0,3,0,3,1,2,0,9.0,175.1,0,9.0,16.0,175.1,1
0.0,14.0,1,3,3,2,4,1,3.0,124.32,1,3.0,0.0,124.32,2
7.0,6.0,4,0,5,1,10,0,6.0,204.82,1,6.0,7.0,204.82,1
1.0,17.0,5,0,5,1,11,0,3.0,228.06,1,3.0,1.0,228.06,2
12.0,6.0,1,0,1,1,1,0,7.0,196.13,0,7.0,12.0,196.13,1
30.0,11.0,4,0,4,1,3,1,4.0,205.52,0,4.0,30.0,205.52,0
11.0,17.0,2,0,1,1,3,1,9.0,262.44,0,9.0,11.0,262.44,3
0.0,14.0,4,3,4,0,6,0,1.0,125.46,1,1.0,0.0,125.46,2
0.0,14.0,4,3,1,1,6,0,3.0,123.67,1,3.0,0.0,123.67,2
0.0,14.0,3,3,5,1,4,0,0.0,123.22,0,0.0,0.0,123.22,2
24.0,31.0,4,1,3,1,5,1,6.0,264.73,0,6.0,24.0,264.73,3
9.0,6.0,4,3,5,1,2,0,2.0,122.18,0,2.0,9.0,122.18,2
0.0,9.0,3,2,5,0,2,1,3.0,141.94,0,3.0,0.0,141.94,2
1.0,7.0,4,4,1,1,11,1,3.0,172.87,1,3.0,1.0,172.87,2
4.0,18.0,3,4,1,1,9,1,2.0,139.29,0,2.0,4.0,139.29,2
18.0,7.0,4,0,3,1,4,0,4.0,207.48,0,4.0,18.0,207.48,0
15.0,7.0,2,0,5,1,3,0,8.0,208.92,0,8.0,15.0,208.92,1
17.0,21.0,4,1,5,1,8,0,1.0,296.59,0,1.0,17.0,296.59,3
9.0,7.0,4,3,3,1,2,0,0.0,120.08,0,0.0,9.0,120.08,2
4.0,15.0,4,0,3,1,7,0,8.0,197.64,0,8.0,4.0,197.64,1
5.0,9.0,4,4,1,1,2,1,3.0,151.95,0,3.0,5.0,151.95,2
11.0,17.0,2,4,1,2,5,0,1.0,171.8,0,1.0,11.0,171.8,2
24.0,6.0,4,0,5,2,4,0,8.0,174.84,0,8.0,24.0,174.84,0
0.0,6.0,3,2,3,0,2,0,7.0,152.96,0,7.0,0.0,152.96,1
3.0,6.0,3,2,1,2,2,0,7.0,140.11,0,7.0,3.0,140.11,1
61.0,28.0,4,1,1,1,6,1,1.0,303.75,0,1.0,61.0,303.75,3
16.0,9.0,4,0,1,1,4,1,3.0,226.24,0,3.0,16.0,226.24,0
25.0,10.0,3,1,2,0,3,0,4.0,265.55,0,4.0,25.0,265.55,3
9.0,22.0,4,2,5,1,5,0,2.0,156.47,0,2.0,9.0,156.47,2
8.0,8.0,4,2,1,1,11,0,2.0,179.84,0,2.0,8.0,179.84,2
8.0,33.0,5,4,3,1,3,0,1.0,145.29,0,1.0,8.0,145.29,2
0.0,14.0,4,3,4,1,2,0,3.0,123.68,0,3.0,0.0,123.68,2
17.0,19.0,5,1,4,1,3,0,10.0,268.36,0,10.0,17.0,268.36,3
8.0,26.0,5,4,1,1,3,0,8.0,154.29,0,8.0,8.0,154.29,1
